 

stn;time;tre200nn;qtre200nn;mtre200nn
INNSWZ;20190725;21.0;0;0
INNSWZ;20190726;22.5;0;0
INNSWZ;20190727;18.0;0;0
INNSWZ;20190728;17.3;0;0
INNSWZ;20190729;14.8;0;0
INNSWZ;20190730;15.7;0;0
INNSWZ;20190731;16.4;0;0
INNSWZ;20190801;17.0;0;0
INNSWZ;20190802;17.2;0;0
INNSWZ;20190803;15.4;0;0
INNSWZ;20190804;14.1;0;0
INNSWZ;20190805;18.7;0;0
INNSWZ;20190806;18.8;0;0
INNSWZ;20190807;16.1;0;0
INNSWZ;20190808;14.9;0;0
INNSWZ;20190809;16.3;0;0
INNSWZ;20190810;18.9;0;0
INNSWZ;20190811;14.6;0;0
INNSWZ;20190812;15.7;0;0
INNSWZ;20190813;13.8;0;0
INNSWZ;20190814;11.1;0;0
INNSWZ;20190815;12.0;0;0
INNSWZ;20190816;14.3;0;0
INNSWZ;20190817;14.0;0;0
INNSWZ;20190818;15.4;0;0
INNSWZ;20190819;16.9;0;0
INNSWZ;20190820;16.5;0;0
INNSWZ;20190821;11.6;0;0
INNSWZ;20190822;14.8;0;0
INNSWZ;20190823;15.5;0;0
INNSWZ;20190824;13.7;0;0
INNSWZ;20190825;14.4;0;0
INNSWZ;20190826;13.9;0;0
INNSWZ;20190827;15.3;0;0
INNSWZ;20190828;19.1;0;0
INNSWZ;20190829;18.5;0;0
INNSWZ;20190830;15.3;0;0
INNSWZ;20190831;16.7;0;0
INNSWZ;20190901;16.3;0;0
INNSWZ;20190902;15.5;0;0
INNSWZ;20190903;11.3;0;0
INNSWZ;20190904;11.2;0;0
INNSWZ;20190905;15.3;0;0
INNSWZ;20190906;9.7;0;0
INNSWZ;20190907;11.5;0;0
INNSWZ;20190908;9.2;0;0
INNSWZ;20190909;8.8;0;0
INNSWZ;20190910;9.8;0;0
INNSWZ;20190911;10.9;0;0
INNSWZ;20190912;13.1;0;0
INNSWZ;20190913;12.6;0;0
INNSWZ;20190914;13.5;0;0
INNSWZ;20190915;13.0;0;0
INNSWZ;20190916;14.8;0;0
INNSWZ;20190917;15.3;0;0
INNSWZ;20190918;15.7;0;0
INNSWZ;20190919;10.9;0;0
INNSWZ;20190920;8.8;0;0
INNSWZ;20190921;9.2;0;0
INNSWZ;20190922;14.2;0;0
INNSWZ;20190923;12.5;0;0
INNSWZ;20190924;8.9;0;0
INNSWZ;20190925;13.0;0;0
INNSWZ;20190926;12.2;0;0
INNSWZ;20190927;11.9;0;0
INNSWZ;20190928;13.4;0;0
INNSWZ;20190929;9.9;0;0
INNSWZ;20190930;14.1;0;0
INNSWZ;20191001;10.2;0;0
INNSWZ;20191002;13.0;0;0
INNSWZ;20191003;5.4;0;0
INNSWZ;20191004;6.8;0;0
INNSWZ;20191005;10.0;0;0
INNSWZ;20191006;10.9;0;0
INNSWZ;20191007;6.8;0;0
INNSWZ;20191008;6.9;0;0
INNSWZ;20191009;13.1;0;0
INNSWZ;20191010;9.3;0;0
INNSWZ;20191011;5.9;0;0
INNSWZ;20191012;6.5;0;0
INNSWZ;20191013;8.8;0;0
INNSWZ;20191014;9.6;0;0
INNSWZ;20191015;12.8;0;0
INNSWZ;20191016;7.5;0;0
INNSWZ;20191017;7.2;0;0
INNSWZ;20191018;11.2;0;0
INNSWZ;20191019;11.5;0;0
INNSWZ;20191020;11.2;0;0
INNSWZ;20191021;12.7;0;0
INNSWZ;20191022;11.7;0;0
INNSWZ;20191023;10.0;0;0
INNSWZ;20191024;13.0;0;0
INNSWZ;20191025;12.8;0;0
INNSWZ;20191026;8.1;0;0
INNSWZ;20191027;-;-;-
INNSWZ;20191028;12.1;0;0
INNSWZ;20191029;8.7;0;0
INNSWZ;20191030;7.4;0;0
INNSWZ;20191031;7.7;0;0
INNSWZ;20191101;8.6;0;0
INNSWZ;20191102;10.4;0;0
INNSWZ;20191103;9.8;0;0
INNSWZ;20191104;6.2;0;0
INNSWZ;20191105;8.7;0;0
INNSWZ;20191106;6.1;0;0
INNSWZ;20191107;1.9;0;0
INNSWZ;20191108;4.4;0;0
INNSWZ;20191109;2.7;0;0
INNSWZ;20191110;-0.3;0;0
INNSWZ;20191111;0.0;0;0
INNSWZ;20191112;3.6;0;0
INNSWZ;20191113;3.1;0;0
INNSWZ;20191114;-0.6;0;0
INNSWZ;20191115;5.2;0;0
INNSWZ;20191116;4.2;0;0
INNSWZ;20191117;2.8;0;0
INNSWZ;20191118;0.8;0;0
INNSWZ;20191119;1.7;0;0
INNSWZ;20191120;4.0;0;0
INNSWZ;20191121;2.8;0;0
INNSWZ;20191122;1.6;0;0
INNSWZ;20191123;4.6;0;0
INNSWZ;20191124;6.7;0;0
INNSWZ;20191125;5.1;0;0
INNSWZ;20191126;6.6;0;0
INNSWZ;20191127;5.5;0;0
INNSWZ;20191128;5.6;0;0
INNSWZ;20191129;5.9;0;0
INNSWZ;20191130;3.4;0;0
INNSWZ;20191201;1.5;0;0
INNSWZ;20191202;4.2;0;0
INNSWZ;20191203;1.5;0;0
INNSWZ;20191204;1.3;0;0
INNSWZ;20191205;0.7;0;0
INNSWZ;20191206;0.1;0;0
INNSWZ;20191207;0.2;0;0
INNSWZ;20191208;1.6;0;0
INNSWZ;20191209;4.5;0;0
INNSWZ;20191210;2.5;0;0
INNSWZ;20191211;-2.9;0;0
INNSWZ;20191212;1.3;0;0
INNSWZ;20191213;-1.7;0;0
INNSWZ;20191214;1.8;0;0
INNSWZ;20191215;2.9;0;0
INNSWZ;20191216;2.7;0;0
INNSWZ;20191217;14.1;0;0
INNSWZ;20191218;6.5;0;0
INNSWZ;20191219;4.5;0;0
INNSWZ;20191220;7.0;0;0
INNSWZ;20191221;4.6;0;0
INNSWZ;20191222;3.2;0;0
INNSWZ;20191223;4.9;0;0
INNSWZ;20191224;2.7;0;0
INNSWZ;20191225;5.7;0;0
INNSWZ;20191226;-0.2;0;0
INNSWZ;20191227;3.9;0;0
INNSWZ;20191228;5.1;0;0
INNSWZ;20191229;0.4;0;0
INNSWZ;20191230;-0.3;0;0
INNSWZ;20191231;0.1;0;0
INNSWZ;20200101;-0.5;0;0
INNSWZ;20200102;-0.7;0;0
INNSWZ;20200103;0.0;0;0
INNSWZ;20200104;2.5;0;0
INNSWZ;20200105;1.0;0;0
INNSWZ;20200106;-2.4;0;0
INNSWZ;20200107;-1.6;0;0
INNSWZ;20200108;-1.3;0;0
INNSWZ;20200109;0.5;0;0
INNSWZ;20200110;0.9;0;0
INNSWZ;20200111;3.6;0;0
INNSWZ;20200112;-2.3;0;0
INNSWZ;20200113;-2.5;0;0
INNSWZ;20200114;-2.2;0;0
INNSWZ;20200115;-0.7;0;0
INNSWZ;20200116;0.9;0;0
INNSWZ;20200117;-1.0;0;0
INNSWZ;20200118;2.2;0;0
INNSWZ;20200119;1.0;0;0
INNSWZ;20200120;-3.6;0;0
INNSWZ;20200121;-4.5;0;0
INNSWZ;20200122;-2.1;0;0
INNSWZ;20200123;-1.3;0;0
INNSWZ;20200124;-1.3;0;0
INNSWZ;20200125;-1.5;0;0
INNSWZ;20200126;-0.9;0;0
INNSWZ;20200127;1.9;0;0
INNSWZ;20200128;4.3;0;0
INNSWZ;20200129;0.4;0;0
INNSWZ;20200130;1.0;0;0
INNSWZ;20200131;4.9;0;0
INNSWZ;20200201;4.2;0;0
INNSWZ;20200202;7.0;0;0
INNSWZ;20200203;9.2;0;0
INNSWZ;20200204;5.7;0;0
INNSWZ;20200205;1.8;0;0
INNSWZ;20200206;-2.9;0;0
INNSWZ;20200207;-3.0;0;0
INNSWZ;20200208;-2.4;0;0
INNSWZ;20200209;-0.5;0;0
INNSWZ;20200210;5.5;0;0
INNSWZ;20200211;5.9;0;0
INNSWZ;20200212;1.6;0;0
INNSWZ;20200213;-0.6;0;0
INNSWZ;20200214;2.0;0;0
INNSWZ;20200215;0.2;0;0
INNSWZ;20200216;2.4;0;0
INNSWZ;20200217;4.0;0;0
INNSWZ;20200218;2.8;0;0
INNSWZ;20200219;2.7;0;0
INNSWZ;20200220;0.8;0;0
INNSWZ;20200221;2.5;0;0
INNSWZ;20200222;0.1;0;0
INNSWZ;20200223;4.4;0;0
INNSWZ;20200224;12.0;0;0
INNSWZ;20200225;4.5;0;0
INNSWZ;20200226;1.2;0;0
INNSWZ;20200227;-0.2;0;0
INNSWZ;20200228;1.4;0;0
INNSWZ;20200229;3.8;0;0
INNSWZ;20200301;4.2;0;0
INNSWZ;20200302;1.6;0;0
INNSWZ;20200303;3.8;0;0
INNSWZ;20200304;1.8;0;0
INNSWZ;20200305;3.2;0;0
INNSWZ;20200306;5.4;0;0
INNSWZ;20200307;0.5;0;0
INNSWZ;20200308;-1.0;0;0
INNSWZ;20200309;4.3;0;0
INNSWZ;20200310;1.2;0;0
INNSWZ;20200311;5.4;0;0
INNSWZ;20200312;4.9;0;0
INNSWZ;20200313;6.8;0;0
INNSWZ;20200314;1.7;0;0
INNSWZ;20200315;0.2;0;0
INNSWZ;20200316;2.8;0;0
INNSWZ;20200317;4.2;0;0
INNSWZ;20200318;5.0;0;0
INNSWZ;20200319;4.9;0;0
INNSWZ;20200320;5.8;0;0
INNSWZ;20200321;5.2;0;0
INNSWZ;20200322;4.4;0;0
INNSWZ;20200323;0.3;0;0
INNSWZ;20200324;-1.3;0;0
INNSWZ;20200325;-1.7;0;0
INNSWZ;20200326;-2.0;0;0
INNSWZ;20200327;-1.0;0;0
INNSWZ;20200328;1.5;0;0
INNSWZ;20200329;4.2;0;0
INNSWZ;20200330;1.3;0;0
INNSWZ;20200331;-2.1;0;0
INNSWZ;20200401;-1.8;0;0
INNSWZ;20200402;0.5;0;0
INNSWZ;20200403;4.8;0;0
INNSWZ;20200404;1.8;0;0
INNSWZ;20200405;2.3;0;0
INNSWZ;20200406;4.6;0;0
INNSWZ;20200407;17.7;0;0
INNSWZ;20200408;6.8;0;0
INNSWZ;20200409;7.8;0;0
INNSWZ;20200410;7.4;0;0
INNSWZ;20200411;8.1;0;0
INNSWZ;20200412;8.9;0;0
INNSWZ;20200413;9.4;0;0
INNSWZ;20200414;6.9;0;0
INNSWZ;20200415;2.0;0;0
INNSWZ;20200416;6.0;0;0
INNSWZ;20200417;8.6;0;0
